X Y Z
1000	0	0.96

1000	2000	2.95

1000	3000	1.96

1000	4000	2.53

1000	5000	2.67

1000	6000	2.22

1000	7000	3.28

2000	2500	1.77

2000	3500	3.4

2000	4500	2.72

2000	5500	3.4

2000	6500	2.24

2000	7500	1.99

3000	2000	1.71

3000	3000	0.34

3000	4000	6.46

3000	5000	3.24

3000	6000	0.93

3000	7000	5.14

3000	8000	3.19

4000	3000	0.24

4000	4000	0.98

4000	5000	5.5

4000	6000	2.28

4000	7000	5

4000	8000	3.3

5000	3000	1.85

5000	4000	3.61

5000	5000	2.17

5000	6000	1.68

5000	8000	4.12

5000	9000	1.36

7000	5000	5.98

7000	6000	2.69

7000	11500	2.9

8000	5000	0.47

8000	6000	1.22

8000	7000	0.47

8000	8000	6.5

9000	5000	2.27

9000	6000	2.96

9000	7000	2.47

9000	8000	3.26

9000	9000	7.16

10000	6000	2.27

10000	7000	2.96

10000	8000	2.47

10000	9000	3.26

10000	10000	6.26

10000	11000	7.16

10000	12000	8.5

11000	6000	1.63

11000	7000	2.49

11000	8000	1.13

11000	9000	1.97

11000	10000	0.88

11000	11000	2.16

11000	12000	1.5

11000	13000	3.18

12000	7500	1.76

12000	9500	1.68

12000	10500	0.44

12000	11500	3.75

12000	12500	2.92

13000	7000	1.63

13000	8000	3.05

13000	9000	0.65

13000	10000	0.46

13000	11000	0.34

13000	12000	1.58

13000	13000	1.27

13000	14000	0.81

14000	7000	2.13

14000	8000	2.1

14000	9000	1.31

14000	10000	2.38

14000	11000	0.95

14000	12000	8.34

14000	13000	0.69

14000	14000	0.41

14000	15000	0.44

15000	9000	1.66

15000	11000	2.16

15000	12000	4.53

15000	14000	0.54

15000	15000	1.33

16000	8000	1.77

16000	9000	1.6

16000	10000	0.68

16000	11000	1.77

16000	12000	5.39

16000	12500	1.3

16000	13500	3.8

16000	14500	1.68

16000	15500	1.67

17000	9000	0.5

17000	10000	0.71

17000	11000	1.72

17000	12000	1.61

17000	13000	1.05

17000	14000	3.23

17000	15000	2.5

17000	16000	1.1

18000	10000	0.46

18000	11000	2.16

18000	12000	1.11

18000	13000	2.22

18000	14000	1.5

18000	15000	1.45

18000	16000	0.8

19000	10000	1.92

19000	11000	1.77

19000	12000	0.48

19000	13000	6.58

19000	15000	0.51

19000	16000	0.38

19000	17000	0.46

20000	10000	0.92

20000	11000	2.41

20000	12000	0.58

20000	13000	1.42

20000	14000	0.96

20000	16000	0.39

20000	17000	0.75

21000	10000	2.25

21000	11000	0.36

21000	12000	1.48

21000	13000	2.45

21000	14000	2.13

21000	15000	0.54

21000	16000	0.74

21000	17000	0.55

21000	10500	3.49

21000	11500	0.5

21000	12500	1.22

21000	13500	1.64

21000	14500	0.9

21000	15500	3.93

21000	16500	3.53

